reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at
2d42c8d9-1401-4b12-af7b-df1f01aad264,A Google user,Sabi apni apni bnalo gf😂😂😂,5,0,278.0.0.22.117,2024-10-04 14:52:10
93dc590d-22ac-4c0f-93cf-1e44d1671eb8,A Google user,nice💗,3,0,351.0.0.41.106,2024-10-04 14:52:06
422c5eb3-973c-432f-a749-9d3a3727b2ef,A Google user,Very good,5,0,351.0.0.41.106,2024-10-04 14:51:33
5b30242d-06ee-43e8-be8e-3aff47923adc,A Google user,Best App,5,0,344.1.0.42.92,2024-10-04 14:51:32
3fbd5ec2-7497-47c6-b231-1be1e484e5f5,A Google user,Nice 👍,5,0,350.1.0.46.93,2024-10-04 14:51:29
179318c8-3ba7-43fe-a088-2b5f6e26fbc5,A Google user,Nice 👍,5,0,351.0.0.41.106,2024-10-04 14:51:11
33e732d7-cafc-492f-9d93-8527412af7e6,A Google user,Superb,5,0,351.0.0.41.106,2024-10-04 14:51:09
182f3ccd-e2d7-4038-974f-f499196612e1,A Google user,Love 😚😘,1,0,342.0.0.33.103,2024-10-04 14:51:01
86e5813b-3f30-49ba-bfc8-0e2c3eda25dc,A Google user,Very use ful,5,0,349.3.0.42.104,2024-10-04 14:50:48
5a375084-dc6e-41a7-af91-fe941f85e818,A Google user,King of Instagram,5,0,339.0.0.30.105,2024-10-04 14:50:46
d2a2ae5d-fe68-43cd-a862-4a091f55f453,A Google user,Shared reels are not showing and stories are not showing,2,0,351.0.0.41.106,2024-10-04 14:50:43
b47ba5b4-ea1f-4924-8a85-4e2e446451b5,A Google user,Plz forgive me plz,5,0,351.0.0.41.106,2024-10-04 14:50:40
a81a145a-97c8-4005-b1b9-67f0753a3247,A Google user,Nice,4,0,336.0.0.35.90,2024-10-04 14:50:34
5367609d-1ac9-4d03-b2bd-e748051c217c,A Google user,"Worst experience ever , because everything is unavailable just like friend's stories , reel and message all are unavailable. That's why I am going to delete it .",2,0,345.0.0.48.95,2024-10-04 14:50:19
27dc41b3-5ca8-4089-935b-e075e0f20937,A Google user,Very good,4,0,351.0.0.41.106,2024-10-04 14:50:19
b0089288-c8b4-47da-addd-40aa7b47cd1f,A Google user,This aap is not updated,1,0,333.0.0.42.91,2024-10-04 14:50:15
4118c404-f810-4f46-85a0-befb1d59d59f,A Google user,✨💖,5,0,351.0.0.41.106,2024-10-04 14:50:10
de6eab85-93c6-4e51-a59f-fdea5297d28e,A Google user,Bad,1,0,351.0.0.41.106,2024-10-04 14:49:46
